Date,Price,Quantity Sold
Nov 22 2019 01: +0,0.03,41954
Nov 23 2019 01: +0,0.03,70157
Nov 24 2019 01: +0,0.03,60228
Nov 25 2019 01: +0,0.03,45457
Nov 26 2019 01: +0,0.03,50304
Nov 27 2019 01: +0,0.03,55016
Nov 28 2019 01: +0,0.03,49968
Nov 29 2019 01: +0,0.03,46914
Nov 30 2019 01: +0,0.03,53928
Dec 01 2019 01: +0,0.03,50804
Dec 02 2019 01: +0,0.03,42649
Dec 03 2019 01: +0,0.03,42760
Dec 04 2019 01: +0,0.03,43949
Dec 05 2019 01: +0,0.03,40049
Dec 06 2019 01: +0,0.03,41153
Dec 07 2019 01: +0,0.03,49181
Dec 08 2019 01: +0,0.03,52431
Dec 09 2019 01: +0,0.03,50945
Dec 10 2019 01: +0,0.03,45586
Dec 11 2019 01: +0,0.03,49146
Dec 12 2019 01: +0,0.03,45518
Dec 13 2019 01: +0,0.03,51376
Dec 14 2019 01: +0,0.03,51980
Dec 15 2019 01: +0,0.03,46266
